(['12'], 6700)
(['18'], 6315)
(['30'], 2680)
(['3'], 2254)
(['14'], 1256)
(['8'], 6754)
(['21'], 2755)
(['22'], 6738)
(['9'], 4669)
(['0'], 9432)
(['11'], 8645)
(['23'], 230)
(['17'], 1682)
(['6'], 1240)
(['25'], 2017)
(['28'], 1555)
(['26'], 4790)
(['1'], 620)
(['5'], 455)
(['19'], 523)
(['31'], 256)
(['24'], 515)
(['20'], 468)
(['27'], 162)
(['2'], 338)
(['10'], 243)
(['29'], 237)
(['18', '18', '18', '12'], 13)
(['18', '18', '18', '18'], 167)
(['18', '18', '18', '0'], 45)
(['18', '18', '0', '18'], 47)
(['18', '18', '0', '0'], 39)
(['18', '0', '18', '18'], 49)
(['18', '0', '18', '0'], 41)
(['18', '0', '0', '18'], 26)
(['18', '0', '0', '0'], 44)
(['18', '17', '0', '17'], 13)
(['30', '30', '30', '30'], 116)
(['30', '30', '30', '3'], 10)
(['30', '30', '30', '0'], 51)
(['30', '30', '30', '31'], 22)
(['30', '30', '3', '30'], 16)
(['30', '30', '0', '30'], 64)
(['30', '30', '0', '0'], 48)
(['30', '30', '31', '30'], 33)
(['30', '30', '31', '31'], 17)
(['30', '3', '30', '3'], 11)
(['30', '3', '3', '3'], 16)
(['30', '0', '30', '30'], 67)
(['30', '0', '30', '0'], 62)
(['30', '0', '0', '30'], 48)
(['30', '0', '0', '0'], 45)
(['30', '11', '12', '11'], 10)
(['30', '11', '11', '11'], 10)
(['30', '31', '30', '30'], 40)
(['30', '31', '30', '31'], 34)
(['30', '31', '31', '30'], 19)
(['30', '31', '31', '31'], 18)
(['3', '30', '3', '30'], 20)
(['3', '30', '3', '3'], 41)
(['3', '30', '3', '11'], 10)
(['3', '3', '30', '3'], 36)
(['3', '3', '3', '12'], 13)
(['3', '3', '3', '30'], 11)
(['3', '3', '3', '3'], 68)
(['3', '3', '3', '11'], 17)
(['8', '12', '8', '8'], 13)
(['8', '12', '11', '8'], 10)
(['8', '12', '11', '11'], 11)
(['8', '8', '12', '8'], 12)
(['8', '8', '8', '12'], 11)
(['8', '8', '8', '8'], 222)
(['8', '8', '8', '11'], 10)
(['8', '8', '8', '6'], 22)
