'1czmUiOb3J/+Vv3JXNuQjIu5H0rG2lECdjC24fdLz80=','world','2016-04-25 14:11:42'::timestamp,'2016-04-26 09:10:50'::timestamp,'None','None'
'1czmUiOb3J/+Vv3JXNuQjIu5H0rG2lECdjC24fdLz80=','bk_city','2016-04-25 13:29:54'::timestamp,'2016-04-25 14:11:42'::timestamp,'A-08-D-202','A-08-D-202'
'1czmUiOb3J/+Vv3JXNuQjIu5H0rG2lECdjC24fdLz80=','bk_city','2016-04-26 09:10:50'::timestamp,'2016-04-26 10:44:16'::timestamp,'A-08-D-202','A-08-D-202'
'1czmUiOb3J/+Vv3JXNuQjIu5H0rG2lECdjC24fdLz80=','bk_city','2016-04-26 11:15:59'::timestamp,'2016-04-26 11:52:32'::timestamp,'A-08-D-202','A-08-D-202'
'La3ldoOr1DZmoCOoutK55XZsGj7jJ61a/otRAZcHtWE=','ogz','2016-04-26 09:21:19'::timestamp,'2016-04-26 10:49:48'::timestamp,'A-66-0-021','A-66-0-012'
'UHI5F/vrZxXtDepIyQMye5MOcGMJPDX2hhRLrEZ80FU=','cultureel_centrum','2016-04-26 20:03:17'::timestamp,'2016-04-26 21:08:34'::timestamp,'A-38-0-022','A-38-0-022'
'k2unz/FuU0tHa4If2uw19NgHdPPgjj45uaDUOu9jtO0=','btud','2016-04-25 08:45:04'::timestamp,'2016-04-25 12:26:53'::timestamp,'A-21-0-062','A-21-0-026'
'k2unz/FuU0tHa4If2uw19NgHdPPgjj45uaDUOu9jtO0=','world','2016-04-25 15:41:02'::timestamp,'2016-04-26 08:55:19'::timestamp,'None','None'
'k2unz/FuU0tHa4If2uw19NgHdPPgjj45uaDUOu9jtO0=','citg','2016-04-25 12:37:41'::timestamp,'2016-04-25 15:41:02'::timestamp,'A-23-0-068','A-23-0-093'
'k2unz/FuU0tHa4If2uw19NgHdPPgjj45uaDUOu9jtO0=','citg','2016-04-26 08:55:19'::timestamp,'2016-04-26 12:13:34'::timestamp,'A-23-0-094','A-23-0-036'
'k2unz/FuU0tHa4If2uw19NgHdPPgjj45uaDUOu9jtO0=','btud','2016-04-26 12:49:00'::timestamp,'2016-04-26 17:11:03'::timestamp,'A-21-0-026','A-21-0-026'
